Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Alize Cornet,Maria Sharapova,0,65,24,35,9,0,5,11,23,4,6,7,12,60,1,6,0,0,0,50,23,50,16,0,8,35,35,6,14,12,13,81,6,7,0,0,0
Agnieszka Radwanska,Anastasia Pavlyuchenkova,1,65,36,35,16,5,2,25,19,6,9,13,20,96,5,6,6,0,0,59,29,41,17,0,7,39,49,3,5,12,21,78,7,2,2,0,0
Garbine Muguruza,Caroline Wozniacki,1,64,37,36,16,5,7,33,56,7,10,12,17,96,4,7,6,0,0,67,39,33,12,2,6,17,37,5,16,9,13,93,6,5,3,0,0
Sloane Stephens,Elina Svitolina,1,69,31,31,10,1,0,24,32,4,9,10,13,68,7,6,0,0,0,57,23,43,15,0,4,12,27,2,3,9,17,61,5,4,0,0,0
Yvonne Meusburger,Victoria Azarenka,0,70,8,30,4,0,5,5,18,1,2,3,3,25,1,0,0,0,0,74,20,26,5,0,2,20,13,7,14,14,17,56,6,6,0,0,0
Serena Williams,Ana Ivanovic,0,66,43,34,13,13,4,22,31,2,3,10,15,79,6,3,3,0,0,53,31,47,21,1,2,33,27,4,14,10,13,91,4,6,6,0,0
Casey Dellacqua,Eugenie Bouchard,0,61,33,39,14,0,3,11,47,1,2,5,9,68,7,2,0,0,0,65,37,35,16,6,1,29,28,6,11,10,12,94,6,6,6,0,0
Na Li,Ekaterina Makarova,1,80,26,20,4,1,1,18,14,5,7,8,14,55,6,6,0,0,0,64,14,36,3,0,1,4,11,0,4,3,4,31,2,0,0,0,0
Angelique Kerber,Flavia Pennetta,0,64,35,36,10,1,4,25,35,5,6,5,13,77,1,6,5,0,0,60,33,40,12,8,2,43,37,8,18,17,27,98,6,4,7,0,0
Jelena Jankovic,Simona Halep,0,67,32,33,11,2,2,23,43,4,8,20,30,69,4,6,0,0,0,64,26,36,14,0,4,22,28,6,13,4,4,81,6,2,6,0,0
Dominika Cibulkova,Maria Sharapova,1,69,27,31,13,1,5,16,28,7,14,2,2,87,3,6,6,0,0,66,31,34,12,3,8,27,45,5,10,8,10,77,6,4,1,0,0
Agnieszka Radwanska,Garbine Muguruza,1,73,34,27,11,2,1,9,15,4,9,4,7,76,6,6,0,0,0,56,18,44,10,3,3,23,44,0,6,6,14,49,1,3,0,0,0
Sloane Stephens,Victoria Azarenka,0,72,24,28,9,0,0,20,32,0,2,6,8,55,3,2,0,0,0,69,32,31,10,3,7,20,20,3,14,13,17,74,6,6,0,0,0
Ana Ivanovic,Eugenie Bouchard,0,56,34,44,23,1,4,34,35,5,12,12,18,104,7,5,2,0,0,58,42,42,20,2,6,47,37,7,13,19,24,113,5,7,6,0,0
Na Li,Flavia Pennetta,1,64,23,36,10,1,1,23,17,5,8,7,10,62,6,6,0,0,0,39,12,61,13,3,5,14,27,1,4,2,2,37,2,2,0,0,0
Simona Halep,Dominika Cibulkova,0,67,13,33,6,2,1,9,25,1,3,1,4,32,3,0,0,0,0,77,25,23,5,0,3,17,16,5,9,3,4,54,6,6,0,0,0
Agnieszka Radwanska,Victoria Azarenka,1,59,33,41,16,1,1,23,15,6,16,19,24,94,6,5,6,0,0,60,26,40,19,0,5,33,47,2,5,20,34,74,1,7,0,0,0
Eugenie Bouchard,Na Li,0,45,13,55,5,2,2,10,14,3,7,4,5,49,2,4,0,0,0,61,27,39,11,4,5,35,23,6,10,11,14,71,6,6,0,0,0
Dominika Cibulkova,Agnieszka Radwanska,1,64,22,36,10,0,2,21,20,6,9,12,14,63,6,6,0,0,0,68,17,32,2,2,2,12,24,1,9,4,9,40,1,2,0,0,0
Na Li,Dominika Cibulkova,1,60,21,40,15,2,3,34,30,5,10,8,13,75,7,6,0,0,0,67,29,33,5,0,7,11,28,2,3,3,4,58,6,0,0,0,0
Su-Wei Hsieh,Maria Sharapova,0,62,18,38,5,0,3,8,8,0,0,1,3,31,2,1,0,0,0,68,25,32,8,4,0,25,19,4,6,3,5,57,6,6,0,0,0
Eugenie Bouchard,Tsvetana Pironkova,1,57,23,43,17,3,1,37,21,4,10,16,20,71,6,7,0,0,0,66,28,34,6,1,2,13,21,1,3,4,8,48,1,6,0,0,0
Jie Zheng,Vesna Dolonc,1,76,30,24,5,1,0,25,13,4,12,4,5,70,6,6,0,0,0,76,35,24,6,0,3,20,25,0,4,14,20,56,4,1,0,0,0
Tamira Paszek,Melanie Oudin,0,59,16,41,8,2,6,21,38,6,15,2,4,66,4,3,0,0,0,63,27,37,9,0,3,24,29,8,13,5,8,78,6,6,0,0,0
Karin Knapp,Sloane Stephens,0,57,18,43,13,0,3,15,27,2,2,3,5,50,2,5,0,0,0,65,22,35,10,0,2,9,16,5,7,1,4,61,6,7,0,0,0
Vania King,Alexandra Cadantu,1,74,27,26,11,0,0,38,15,6,9,14,21,83,7,6,0,0,0,72,28,28,9,0,5,21,17,3,8,5,9,64,6,1,0,0,0
Marina Erakovic,Elena Baltacha,1,66,23,34,8,6,2,29,10,5,6,5,9,56,6,6,0,0,0,69,11,31,6,1,1,7,13,1,5,2,6,30,3,0,0,0,0
Dominika Cibulkova,Lesia Tsurenko,1,60,24,40,11,1,2,14,20,6,10,4,6,67,6,6,0,0,0,55,12,45,7,1,3,16,35,3,7,0,2,46,1,4,0,0,0
Kimiko Date-Krumm,Samantha Stosur,0,79,15,21,3,0,1,8,20,0,1,4,7,33,0,2,0,0,0,59,19,41,12,1,0,21,18,5,8,7,10,60,6,6,0,0,0
Kristina Mladenovic,Lauren Davis,1,58,27,42,13,3,1,31,21,6,15,14,17,77,6,7,0,0,0,72,22,28,5,0,0,18,16,2,9,4,7,49,0,5,0,0,0
Karolina Pliskova,Garbine Muguruza,0,60,41,40,20,9,4,27,22,2,4,5,7,88,6,5,3,0,0,69,49,31,13,7,7,46,25,3,7,11,17,99,4,7,6,0,0
Jelena Jankovic,Daniela Hantuchova,1,78,40,22,7,4,1,27,21,3,11,10,15,90,6,7,0,0,0,68,38,32,17,1,2,26,32,2,6,14,23,80,4,6,0,0,0
Jamie Hampton,Lucie Safarova,1,60,50,40,24,7,5,38,50,6,11,5,14,125,7,3,9,0,0,67,53,33,19,4,1,35,43,6,16,11,17,130,6,6,7,0,0
Anna Karolina Schmiedlova,Yanina Wickmayer,1,62,40,38,16,6,4,17,42,4,12,3,4,102,7,2,6,0,0,59,39,41,22,1,8,34,66,4,10,9,12,102,6,6,2,0,0
Shuai Peng,Camila Giorgi,1,54,28,46,14,2,3,13,15,4,8,5,5,68,6,6,0,0,0,53,24,47,8,1,11,23,30,1,4,3,8,57,4,2,0,0,0
Petra Kvitova,Aravane Rezai,1,69,35,31,13,5,6,29,32,9,16,4,11,94,6,4,6,0,0,56,27,44,12,1,7,33,32,6,13,11,15,87,3,6,2,0,0
Elena Vesnina,Victoria Azarenka,0,74,21,26,6,2,1,20,16,1,5,9,11,47,1,4,0,0,0,70,31,30,6,4,1,21,13,4,8,8,10,63,6,6,0,0,0
Sandra Zahlavova,Annika Beck,0,69,18,31,7,2,1,13,24,0,3,5,11,40,2,1,0,0,0,83,28,17,5,1,1,19,13,5,11,5,7,62,6,6,0,0,0
Irina-Camelia Begu,Silvia Soler-Espinosa,0,74,26,26,6,0,3,19,28,1,3,6,9,53,3,2,0,0,0,56,23,44,15,0,2,17,15,4,11,4,6,71,6,6,0,0,0
Alize Cornet,Maria Joao Koehler,1,70,28,30,11,0,3,16,19,6,9,7,9,72,7,6,0,0,0,60,19,40,8,0,9,20,45,3,8,4,8,58,5,2,0,0,0
Flavia Pennetta,Kirsten Flipkens,0,41,21,59,17,1,7,20,26,4,12,14,28,81,6,4,0,0,0,45,31,55,23,5,9,34,28,6,8,21,28,92,2,6,6,0,0
Melinda Czink,Francesca Schiavone,0,57,23,43,12,1,4,18,26,2,6,11,19,51,0,6,0,0,0,57,26,43,14,4,5,29,20,5,10,5,8,79,6,7,0,0,0
Kristyna Pliskova,Mariana Duque-Marino,0,60,18,40,9,0,3,6,27,0,4,3,11,38,2,0,0,0,0,65,23,35,9,3,1,27,16,5,12,12,14,65,6,6,0,0,0
Marion Bartoli,Olga Govortsova,1,62,54,38,25,4,12,40,45,7,14,12,19,129,7,4,7,0,0,62,42,38,16,1,9,57,42,7,16,9,13,131,6,6,5,0,0
Nina Bratchikova,Maria Kirilenko,0,69,15,31,4,0,1,6,24,0,2,5,8,33,0,1,0,0,0,51,19,49,12,2,4,24,14,5,11,3,5,60,6,6,0,0,0
Ashleigh Barty,Lucie Hradecka,1,53,32,47,23,4,2,26,29,7,18,11,11,103,7,2,6,0,0,57,31,43,18,5,7,38,45,6,10,11,21,97,5,6,1,0,0
Stefanie Voegele,Heather Watson,1,64,41,36,16,4,4,21,24,3,14,9,12,96,6,2,6,0,0,67,44,33,17,4,2,38,24,3,8,9,18,91,4,6,4,0,0
Klara Zakopalova,Kaia Kanepi,0,58,22,42,11,1,2,13,46,3,7,3,8,59,6,2,0,0,0,70,32,30,8,2,3,17,33,5,6,0,2,80,7,6,0,0,0
Coco Vandeweghe,Yaroslava Shvedova,0,53,24,47,12,4,6,16,37,3,7,7,14,61,0,6,2,0,0,64,30,36,14,0,5,23,22,7,12,10,11,84,6,3,6,0,0
Tatjana Maria,Paula Ormaechea,0,60,30,40,18,5,2,17,32,2,3,12,19,73,3,6,0,0,0,49,25,51,21,3,4,35,30,6,15,13,19,89,6,4,6,0,0
Bethanie Mattek-Sands,Lourdes Dominguez Lino,1,54,24,46,14,0,2,32,25,5,14,17,24,71,6,6,0,0,0,47,12,53,14,1,2,8,14,2,6,4,11,51,4,1,0,0,0
Na Li,A. Medina Garrigues,1,71,31,29,7,0,3,26,37,6,10,13,16,69,6,6,0,0,0,57,18,43,7,0,0,12,21,4,12,1,1,57,3,4,0,0,0
Arantxa Rus,Sara Errani,0,52,11,48,2,0,7,7,26,2,3,3,6,26,1,2,0,0,0,85,18,15,3,0,0,14,15,7,9,3,7,52,6,6,0,0,0
Ayumi Morita,Yulia Putintseva,0,65,17,35,9,0,1,16,31,1,6,4,8,45,2,3,0,0,0,58,22,42,16,3,2,16,13,4,7,0,1,61,6,6,0,0,0
Maria-Teresa Torro-Flor,Julia Glushko,1,77,32,23,7,0,0,24,17,6,9,3,3,72,6,7,0,0,0,78,22,22,5,2,1,15,23,3,3,3,9,50,2,5,0,0,0
Sabine Lisicki,Sofia Arvidsson,1,52,27,48,15,4,3,37,30,3,6,13,19,73,6,6,0,0,0,70,29,30,10,1,0,7,14,1,6,4,4,60,3,4,0,0,0
Simona Halep,Carla Suarez Navarro,0,74,34,26,9,1,5,25,26,4,10,4,6,79,6,2,2,0,0,63,31,37,17,0,2,41,22,7,13,19,20,92,3,6,6,0,0
Irena Pavlovic,Shelby Rogers,0,59,24,41,11,4,3,13,26,0,0,1,2,47,3,4,0,0,0,58,26,42,15,5,1,21,18,2,6,9,10,60,6,6,0,0,0
Madison Keys,Misaki Doi,1,66,29,34,8,5,1,25,19,4,5,6,8,59,6,6,0,0,0,62,16,38,9,0,2,10,11,1,4,7,12,46,3,2,0,0,0
Nadia Petrova,Monica Puig,0,58,37,42,16,12,3,29,50,5,8,5,9,99,6,5,4,0,0,52,40,48,21,4,6,21,36,6,9,3,5,103,3,7,6,0,0
Petra Martic,Ana Ivanovic,0,62,30,38,17,1,6,23,39,2,9,24,27,81,1,6,3,0,0,54,37,46,24,3,3,27,36,4,10,6,14,100,6,3,6,0,0
Chanelle Scheepers,Mathilde Johansson,0,54,16,46,13,0,5,9,23,3,5,1,4,56,5,1,0,0,0,68,29,32,9,0,7,26,36,6,15,6,9,72,7,6,0,0,0
Virginie Razzano,Claire Feuerstein,1,75,46,25,9,3,4,16,18,3,9,7,12,89,7,6,0,0,0,55,29,45,19,1,2,29,37,2,9,5,10,84,6,4,0,0,0
Julia Goerges,Zuzana Kucova,0,54,22,46,14,10,4,39,56,2,9,6,15,73,6,0,0,0,0,76,41,24,13,0,2,13,18,5,9,5,6,90,7,6,0,0,0
Urszula Radwanska,Venus Williams,1,68,48,32,16,0,4,28,40,11,17,13,23,131,7,6,6,0,0,65,38,35,13,0,6,58,66,10,15,30,47,121,6,7,4,0,0
Dinah Pfizenmaier,Mandy Minella,1,67,28,33,5,2,4,30,30,7,13,3,3,69,7,6,0,0,0,57,17,43,8,1,5,7,24,3,6,1,5,47,5,1,0,0,0
Mallory Burdette,Donna Vekic,1,68,27,32,11,1,1,27,17,5,7,7,10,62,6,6,0,0,0,63,21,37,7,1,3,12,13,3,7,2,4,56,3,4,0,0,0
Agnieszka Radwanska,Shahar Peer,1,67,17,33,9,1,0,13,8,6,14,9,11,58,6,6,0,0,0,56,15,44,7,1,4,17,24,1,2,2,10,32,1,1,0,0,0
Mona Barthel,Angelique Kerber,0,57,30,43,16,1,0,37,35,1,4,13,20,77,6,2,0,0,0,54,31,46,20,2,1,19,14,3,12,5,7,81,7,6,0,0,0
Jana Cepelova,Christina McHale,1,78,52,22,9,0,3,25,32,4,12,5,6,104,7,2,6,0,0,70,52,30,10,2,3,31,39,5,9,7,13,106,6,6,4,0,0
Romina Oprandi,Elina Svitolina,0,67,35,33,7,2,3,26,32,5,11,8,17,81,3,6,1,0,0,61,30,39,19,2,2,40,24,8,16,16,28,99,6,4,6,0,0
Varvara Lepchenko,Mirjana Lucic-Baroni,1,65,23,35,8,5,3,12,15,6,10,4,4,63,6,6,0,0,0,56,15,44,8,3,2,12,44,1,6,0,0,38,1,2,0,0,0
Svetlana Kuznetsova,Ekaterina Makarova,1,54,15,46,15,3,2,31,18,6,10,5,11,73,6,6,0,0,0,70,25,30,11,1,1,20,20,3,6,6,11,56,4,2,0,0,0
Pauline Parmentier,Magdalena Rybarikova,0,54,12,46,6,0,6,5,22,1,1,3,8,30,0,1,0,0,0,73,19,27,6,2,0,14,13,6,12,8,9,59,6,6,0,0,0
Barbora Zahlavova Strycova,Bojana Jovanovski,0,71,23,29,6,3,2,13,16,0,0,3,7,39,3,2,0,0,0,80,31,20,5,1,0,28,20,3,7,7,7,59,6,6,0,0,0
Caroline Wozniacki,Laura Robson,1,76,27,24,8,3,1,11,10,5,7,1,1,66,6,6,0,0,0,56,18,44,5,4,6,25,39,2,5,1,6,43,3,2,0,0,0
Stephanie Foretz Gacon,Roberta Vinci,0,66,16,34,5,5,2,20,29,0,0,7,21,32,3,0,0,0,0,60,20,40,12,0,2,10,10,4,5,6,6,58,6,6,0,0,0
Galina Voskoboeva,Grace Min,1,55,30,45,18,3,3,38,30,8,14,16,26,97,4,6,7,0,0,69,34,31,17,1,1,31,19,7,10,10,15,92,6,4,5,0,0
Petra Cetkovska,Olga Puchkova,1,69,25,31,8,0,4,17,17,6,7,4,5,61,6,6,0,0,0,62,11,38,3,0,4,4,25,1,7,0,0,32,0,2,0,0,0
Anastasia Pavlyuchenkova,Andrea Hlavackova,1,54,31,46,22,3,4,36,45,7,16,13,21,108,4,7,6,0,0,72,46,28,11,2,5,32,38,7,12,9,14,104,6,6,4,0,0
Kiki Bertens,Sorana Cirstea,0,63,42,37,12,3,10,31,54,5,10,9,19,96,7,5,2,0,0,65,40,35,21,3,3,22,37,7,13,12,19,108,5,7,6,0,0
Monica Niculescu,Johanna Larsson,0,82,15,18,4,0,1,18,21,2,2,5,8,39,2,3,0,0,0,64,22,36,8,0,1,25,11,6,6,12,14,61,6,6,0,0,0
Yuliya Beygelzimer,Caroline Garcia,0,59,24,41,13,0,1,17,22,0,1,10,12,50,3,4,0,0,0,60,29,40,13,4,2,19,21,2,4,3,6,64,6,6,0,0,0
Serena Williams,Anna Tatishvili,1,73,21,27,7,8,1,27,14,5,11,1,1,56,6,6,0,0,0,58,11,42,6,0,3,4,22,0,0,0,0,22,0,1,0,0,0
Eugenie Bouchard,Maria Sharapova,0,57,17,43,10,0,2,8,18,1,4,1,1,43,2,2,0,0,0,52,19,48,11,1,4,23,23,4,6,8,9,56,6,4,0,0,0
Melanie Oudin,Jie Zheng,0,65,12,35,7,1,2,18,31,3,8,7,9,46,3,1,0,0,0,73,26,27,7,0,0,20,14,7,9,3,5,65,6,6,0,0,0
Vania King,Sloane Stephens,0,82,17,18,6,0,0,7,11,1,3,5,10,36,1,3,0,0,0,75,26,25,5,1,0,29,17,5,8,7,11,57,6,6,0,0,0
Dominika Cibulkova,Marina Erakovic,0,56,31,44,16,2,3,17,31,5,8,8,11,88,2,6,4,0,0,48,25,52,21,2,5,38,38,6,11,6,11,90,6,2,6,0,0
Kristina Mladenovic,Samantha Stosur,0,55,27,45,16,6,4,25,22,0,1,7,15,64,4,3,0,0,0,75,40,25,6,0,4,26,22,2,10,14,17,74,6,6,0,0,0
Jelena Jankovic,Garbine Muguruza,1,60,16,40,11,3,1,10,12,6,12,2,6,58,6,6,0,0,0,54,13,46,8,0,7,12,29,1,2,9,15,34,3,0,0,0,0
Anna Karolina Schmiedlova,Jamie Hampton,0,70,28,30,7,0,2,10,14,2,2,5,7,52,5,2,0,0,0,57,22,43,15,1,1,30,25,5,13,10,13,69,7,6,0,0,0
Petra Kvitova,Shuai Peng,1,53,20,47,13,4,4,30,26,6,11,9,11,66,6,6,0,0,0,73,22,27,5,0,3,9,18,3,5,4,4,49,4,3,0,0,0
Annika Beck,Victoria Azarenka,0,66,22,34,7,1,3,16,23,3,9,2,3,54,4,3,0,0,0,63,24,37,7,1,6,26,26,6,11,14,18,67,6,6,0,0,0
Alize Cornet,Silvia Soler-Espinosa,1,74,24,26,10,2,1,22,18,5,10,9,11,62,6,6,0,0,0,53,13,47,10,0,2,10,30,1,7,7,10,42,1,3,0,0,0
Francesca Schiavone,Kirsten Flipkens,1,62,34,38,20,1,7,39,39,9,18,28,47,110,6,4,6,0,0,53,33,47,13,1,5,33,40,6,17,27,41,98,1,6,3,0,0
Marion Bartoli,Mariana Duque-Marino,1,62,34,38,14,0,5,15,24,5,11,16,28,89,7,7,0,0,0,57,32,43,14,2,5,42,44,4,14,13,25,82,6,5,0,0,0
Ashleigh Barty,Maria Kirilenko,0,61,6,39,4,0,0,9,5,1,1,2,2,16,3,0,0,0,0,75,9,25,1,1,0,7,4,1,1,5,6,18,3,0,0,0,0
Kaia Kanepi,Stefanie Voegele,1,71,20,29,5,4,2,16,15,1,3,0,4,41,6,0,0,0,0,58,13,42,9,0,1,15,9,1,6,4,6,39,5,0,0,0,0
Paula Ormaechea,Yaroslava Shvedova,1,64,27,36,14,1,3,17,26,6,9,3,8,81,6,7,0,0,0,74,26,26,7,0,3,18,38,5,8,9,11,72,4,6,0,0,0
Na Li,Bethanie Mattek-Sands,0,63,34,37,17,3,5,20,34,5,9,2,9,88,7,3,2,0,0,54,35,46,18,3,3,32,37,7,14,5,5,97,5,6,6,0,0
Yulia Putintseva,Sara Errani,0,64,11,36,5,0,2,14,26,1,5,4,11,31,1,1,0,0,0,87,28,13,3,0,0,22,7,6,10,9,11,59,6,6,0,0,0
Sabine Lisicki,Maria-Teresa Torro-Flor,1,68,26,32,8,2,3,32,33,6,12,8,11,62,6,6,0,0,0,74,17,26,5,0,1,6,17,2,8,1,4,45,4,0,0,0,0
Shelby Rogers,Carla Suarez Navarro,0,67,38,33,14,2,1,37,38,5,10,11,14,91,6,4,4,0,0,63,41,37,14,1,2,32,31,5,8,10,14,98,3,6,6,0,0
Monica Puig,Madison Keys,1,52,26,48,21,1,2,15,21,3,7,1,3,79,6,7,0,0,0,61,31,39,11,4,4,17,38,2,6,1,3,68,4,6,0,0,0
Mathilde Johansson,Ana Ivanovic,0,73,17,27,4,0,3,11,18,1,1,1,3,33,2,2,0,0,0,55,20,45,10,0,1,18,10,5,8,2,2,58,6,6,0,0,0
Zuzana Kucova,Virginie Razzano,0,72,36,28,10,1,5,22,42,3,10,5,8,87,6,2,0,0,0,72,42,28,14,0,3,35,41,7,17,15,19,105,4,6,6,0,0
Dinah Pfizenmaier,Urszula Radwanska,1,60,24,40,15,1,1,33,32,5,12,16,24,70,6,6,0,0,0,67,20,33,9,0,1,6,15,2,10,5,6,55,3,3,0,0,0
Agnieszka Radwanska,Mallory Burdette,1,65,23,35,11,2,1,14,5,5,8,5,7,61,6,6,0,0,0,73,17,27,5,1,0,23,28,2,5,9,19,40,3,2,0,0,0
