Player1,Player2,Result,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
Jana Cepelova,Angelique Kerber,0,70,12,30,3,1,2,13,28,2,8,4,7,38,2,2,0,0,0,62,24,38,11,1,1,13,18,6,7,5,5,63,6,6,0,0,0
Varvara Lepchenko,Elina Svitolina,1,61,23,39,12,1,5,32,31,5,11,13,16,71,7,6,0,0,0,65,22,35,10,0,2,11,23,3,3,2,5,56,6,1,0,0,0
Magdalena Rybarikova,Svetlana Kuznetsova,0,66,32,34,11,4,3,22,32,3,6,8,17,72,6,2,2,0,0,79,36,21,7,1,1,30,30,5,8,9,13,79,1,6,6,0,0
Caroline Wozniacki,Bojana Jovanovski,0,70,29,30,10,1,3,13,18,2,3,5,7,62,6,3,0,0,0,68,34,32,8,3,1,33,32,3,7,2,5,72,7,6,0,0,0
Galina Voskoboeva,Roberta Vinci,0,60,36,40,11,4,4,40,37,2,3,20,35,76,4,6,2,0,0,56,35,44,18,1,1,19,15,4,5,20,26,86,6,4,6,0,0
Anastasia Pavlyuchenkova,Petra Cetkovska,0,50,33,50,22,5,5,37,40,6,10,11,20,97,5,6,4,0,0,54,29,46,20,5,2,29,19,6,14,9,15,96,7,2,6,0,0
Johanna Larsson,Sorana Cirstea,0,63,12,37,9,1,2,7,19,1,8,3,3,45,1,4,0,0,0,54,27,46,14,1,1,20,22,4,5,3,5,60,6,6,0,0,0
Serena Williams,Caroline Garcia,1,69,23,31,9,6,1,27,9,4,10,3,5,60,6,6,0,0,0,53,16,47,9,2,3,14,14,0,0,3,5,32,1,2,0,0,0
Jie Zheng,Maria Sharapova,0,81,23,19,3,0,1,8,24,4,11,4,4,58,1,5,0,0,0,57,22,43,13,3,8,25,34,8,8,4,7,76,6,7,0,0,0
Marina Erakovic,Sloane Stephens,0,64,37,36,15,4,6,31,44,3,9,11,14,93,4,7,3,0,0,78,58,22,11,2,2,30,33,5,6,9,12,102,6,6,6,0,0
Jelena Jankovic,Samantha Stosur,1,73,39,27,13,4,5,16,24,5,12,12,20,90,3,6,6,0,0,70,35,30,16,2,2,28,39,4,7,20,25,87,6,3,4,0,0
Petra Kvitova,Jamie Hampton,0,63,24,37,10,2,3,21,33,3,4,10,17,57,1,6,0,0,0,51,24,49,12,4,5,13,18,5,11,3,5,73,6,7,0,0,0
Alize Cornet,Victoria Azarenka,0,65,28,35,10,3,3,28,32,6,16,7,10,84,6,3,1,0,0,69,40,31,11,0,10,41,31,9,20,23,32,99,4,6,6,0,0
Marion Bartoli,Francesca Schiavone,0,62,14,38,8,1,5,9,19,1,3,5,15,41,2,1,0,0,0,53,17,47,15,0,3,32,14,5,9,7,10,63,6,6,0,0,0
Stefanie Voegele,Maria Kirilenko,0,52,30,48,19,0,2,25,38,3,7,18,25,79,6,5,0,0,0,57,27,43,20,2,1,30,28,4,9,17,22,91,7,7,0,0,0
Bethanie Mattek-Sands,Paula Ormaechea,1,71,34,29,12,2,2,38,21,6,9,13,19,88,4,6,6,0,0,55,32,45,8,3,8,18,28,3,4,0,3,63,6,1,3,0,0
Sabine Lisicki,Sara Errani,0,46,15,54,7,1,3,25,34,1,7,8,15,42,0,4,0,0,0,89,34,11,2,1,0,14,7,5,7,5,8,64,6,6,0,0,0
Monica Puig,Carla Suarez Navarro,0,59,24,41,12,1,2,21,31,3,5,7,12,68,4,5,0,0,0,72,39,28,8,3,1,21,29,5,10,7,9,82,6,7,0,0,0
Virginie Razzano,Ana Ivanovic,0,70,18,30,7,1,1,11,20,1,4,13,17,48,3,2,0,0,0,73,32,27,8,5,3,23,21,4,10,2,3,68,6,6,0,0,0
Agnieszka Radwanska,Dinah Pfizenmaier,1,61,26,39,16,1,0,10,17,3,6,9,16,69,6,6,0,0,0,62,24,38,12,1,2,24,48,1,3,14,18,56,3,4,0,0,0
Varvara Lepchenko,Angelique Kerber,0,81,54,19,6,1,4,46,45,3,8,14,20,101,4,7,4,0,0,65,47,35,19,2,3,24,24,5,10,3,4,110,6,6,6,0,0
Bojana Jovanovski,Svetlana Kuznetsova,0,69,31,31,10,1,5,21,21,3,3,4,5,64,4,6,0,0,0,67,29,33,11,7,5,24,24,4,7,8,10,77,6,7,0,0,0
Petra Cetkovska,Roberta Vinci,0,63,26,37,11,1,5,29,37,4,13,9,22,80,1,6,2,0,0,62,32,38,18,4,2,34,25,6,12,8,16,91,6,2,6,0,0
Serena Williams,Sorana Cirstea,1,67,22,33,10,3,2,13,16,5,6,3,4,61,6,6,0,0,0,56,13,44,6,0,6,3,19,0,3,3,7,33,0,2,0,0,0
Sloane Stephens,Maria Sharapova,0,65,28,35,12,1,4,15,25,1,3,2,3,54,4,3,0,0,0,63,25,37,12,1,1,17,20,4,12,5,5,72,6,6,0,0,0
Jamie Hampton,Jelena Jankovic,0,66,11,34,7,1,0,9,29,1,2,9,16,34,0,2,0,0,0,70,22,30,8,2,2,11,15,6,10,6,7,62,6,6,0,0,0
Francesca Schiavone,Victoria Azarenka,0,57,11,43,3,2,2,10,24,2,6,8,13,35,3,0,0,0,0,88,28,12,3,1,1,19,14,7,12,10,12,61,6,6,0,0,0
Bethanie Mattek-Sands,Maria Kirilenko,0,56,29,44,18,0,2,27,42,2,5,13,21,75,5,4,0,0,0,64,31,36,14,1,6,13,25,4,11,10,17,80,7,6,0,0,0
Carla Suarez Navarro,Sara Errani,0,67,32,33,14,0,1,42,47,6,18,12,31,93,7,4,3,0,0,91,57,9,4,0,1,33,27,7,10,14,24,107,5,6,6,0,0
Agnieszka Radwanska,Ana Ivanovic,1,57,21,43,15,1,1,18,5,5,9,9,12,72,6,6,0,0,0,50,19,50,15,1,9,29,33,2,5,8,17,59,2,4,0,0,0
Svetlana Kuznetsova,Angelique Kerber,1,63,46,37,17,3,1,48,37,5,12,16,28,108,6,4,6,0,0,75,44,25,13,0,2,37,31,4,13,10,15,100,4,6,3,0,0
Serena Williams,Roberta Vinci,1,62,24,38,12,5,1,32,21,4,10,13,21,64,6,6,0,0,0,68,20,32,9,1,1,13,12,0,1,10,16,43,1,3,0,0,0
Jelena Jankovic,Maria Sharapova,0,63,31,37,16,0,4,9,21,4,7,5,12,74,6,4,3,0,0,66,30,34,13,1,2,30,45,4,4,9,11,79,0,6,6,0,0
Maria Kirilenko,Victoria Azarenka,0,57,31,43,8,2,5,17,18,3,4,6,12,63,6,2,0,0,0,78,32,22,4,0,2,25,18,5,11,13,14,73,7,6,0,0,0
Agnieszka Radwanska,Sara Errani,0,70,28,30,5,2,2,27,27,5,11,20,34,72,4,6,0,0,0,84,41,16,3,0,0,30,25,6,7,16,24,80,6,7,0,0,0
Serena Williams,Svetlana Kuznetsova,1,66,42,34,12,4,5,37,28,6,16,12,20,92,6,3,6,0,0,77,28,23,7,1,1,19,24,4,9,3,6,75,1,6,3,0,0
Victoria Azarenka,Maria Sharapova,0,72,28,28,8,3,0,15,22,5,10,8,10,77,1,6,4,0,0,62,41,38,10,12,11,42,39,6,10,2,6,87,6,2,6,0,0
Serena Williams,Sara Errani,1,52,14,48,14,5,0,40,12,5,7,8,10,52,6,6,0,0,0,80,10,20,1,0,0,2,3,0,0,2,2,16,0,1,0,0,0
Serena Williams,Maria Sharapova,1,69,27,31,8,10,0,29,21,4,15,10,12,71,6,6,0,0,0,55,20,45,20,2,4,10,17,2,2,3,4,56,4,4,0,0,0
M.Koehler,V.Azarenka,0,60,21,40,8,2,4,19,18,7,2,3,3,0,1,2,0,0,0,72,31,28,4,3,9,25,14,16,6,8,4,0,6,6,0,0,0
E.Baltacha,F.Pennetta,0,69,23,31,6,0,0,12,10,1,1,14,10,0,4,1,0,0,0,53,18,47,15,4,4,22,14,6,5,14,11,0,6,6,0,0,0
S-W.Hsieh,T.Maria,1,63,17,37,10,1,1,23,13,14,6,13,8,0,6,6,0,0,0,56,16,44,7,2,10,11,29,1,0,8,2,0,1,0,0,0,0
A.Cornet,V.King,1,57,36,43,21,4,4,35,30,14,4,22,17,0,4,6,6,0,0,68,45,32,15,0,4,32,45,4,1,48,32,0,6,3,1,0,0
Y.Putintseva,K.Flipkens,0,73,34,27,12,2,2,24,28,4,1,12,7,0,5,4,0,0,0,66,33,34,15,6,0,31,19,9,3,35,24,0,7,6,0,0,0
A.Tomljanovic,B.Jovanovski,0,59,38,41,22,6,4,35,42,14,2,12,6,0,6,1,7,0,0,69,57,31,18,11,5,47,40,13,4,13,7,0,3,6,9,0,0
Y.Wickmayer,V.Dolonc,0,69,40,31,13,1,3,31,37,6,4,17,10,0,6,2,4,0,0,69,33,31,12,2,5,34,26,12,6,10,8,0,3,6,6,0,0
J.Jankovic,J.Konta,1,68,31,32,12,2,1,23,13,5,3,12,11,0,6,7,0,0,0,52,21,48,17,1,4,21,25,2,0,9,7,0,2,5,0,0,0
V.Razzano,A.Ivanovic,0,78,21,22,9,1,2,17,15,1,1,15,9,0,6,0,0,0,0,67,29,33,10,6,0,17,7,5,4,3,2,0,7,6,0,0,0
E.Bouchard,G.Voskoboeva,1,61,44,39,24,3,2,29,25,5,3,20,17,0,5,7,6,0,0,59,49,41,21,3,4,34,30,6,3,25,21,0,7,6,4,0,0
S.Arvidsson,M.Lucic-Baroni,0,73,19,27,6,1,0,7,10,8,0,4,2,0,1,4,0,0,0,64,28,36,14,6,1,33,25,4,3,7,5,0,6,6,0,0,0
C.Suarez Navarro,L.Dominguez Lino,1,68,27,32,14,0,1,23,19,10,6,24,18,0,6,6,0,0,0,64,16,36,5,0,3,12,24,10,2,22,14,0,2,2,0,0,0
J.Larsson,E.Makarova,0,63,20,37,9,2,4,14,19,0,0,7,5,0,3,3,0,0,0,82,30,18,7,2,0,19,8,7,3,11,9,0,6,6,0,0,0
G.Muguruza,A.Keothavong,1,67,28,33,9,3,4,23,16,9,4,18,13,0,6,6,0,0,0,62,18,38,11,2,2,10,14,1,0,10,6,0,4,0,0,0,0
K.Bertens,Y.Shvedova,0,57,31,43,11,3,5,9,34,2,2,13,6,0,4,3,0,0,0,59,19,41,11,0,4,14,34,12,5,10,3,0,6,6,0,0,0
P.Kvitova,C.Vandeweghe,1,67,40,33,17,2,5,32,31,15,5,24,15,0,6,5,6,0,0,64,40,36,20,5,3,24,25,9,3,17,10,0,1,7,4,0,0
K.Mladenovic,M.Sharapova,0,52,29,48,17,6,7,18,20,1,0,15,11,0,6,3,0,0,0,68,35,32,14,5,0,27,18,8,1,9,4,0,7,6,0,0,0
M.Larcher De Brito,M.Oudin,1,68,46,32,15,1,5,16,42,6,5,14,8,0,7,1,6,0,0,65,32,35,15,3,2,33,51,16,7,13,10,0,6,6,4,0,0
L.Hradecka,K.Knapp,0,65,23,35,8,2,2,16,16,3,0,8,4,0,3,4,0,0,0,63,34,37,11,9,3,26,19,2,2,9,6,0,6,6,0,0,0
L.Safarova,L.Davis,1,63,24,37,11,2,1,19,9,5,4,5,2,0,6,6,0,0,0,66,21,34,2,1,2,13,7,1,0,3,2,0,4,0,0,0,0
S.Voegele,S.Cirstea,0,51,29,49,19,1,3,13,32,10,4,18,16,0,5,6,0,0,0,59,32,41,15,1,3,29,29,12,5,25,15,0,7,7,0,0,0
C.Giorgi,S.Murray,1,54,23,46,19,1,4,18,17,13,2,21,14,0,6,6,0,0,0,58,28,42,16,4,6,18,27,1,0,10,7,0,3,4,0,0,0
C.McHale,A.Glatch,1,60,24,40,13,1,0,16,14,10,4,15,6,0,6,6,0,0,0,54,26,46,8,7,1,17,24,5,2,25,13,0,4,4,0,0,0
M.Bartoli,E.Svitolina,1,58,29,42,16,4,3,30,25,7,3,18,13,0,6,7,0,0,0,56,24,44,14,1,5,22,13,3,1,14,10,0,3,5,0,0,0
E.Cabeza Candela,C.Wozniacki,0,68,9,32,3,0,1,12,18,5,1,15,8,0,0,2,0,0,0,72,29,28,2,3,3,12,7,8,6,9,6,0,6,6,0,0,0
P.Cetkovska,D.Vekic,1,69,28,31,7,6,1,30,14,9,4,11,11,0,6,6,0,0,0,53,23,47,11,4,2,18,16,0,0,9,4,0,3,1,0,0,0
P.Parmentier,A.Petkovic,0,62,16,38,10,3,3,16,12,3,1,13,9,0,3,2,0,0,0,77,28,23,7,1,0,18,9,6,4,7,5,0,6,6,0,0,0
S.Stephens,J.Hampton,1,73,34,27,6,4,2,16,15,6,4,13,8,0,6,6,0,0,0,66,21,34,11,1,1,14,14,4,1,12,6,0,3,3,0,0,0
E.Birnerova,V.Lepchenko,1,76,44,24,15,2,2,33,28,12,3,15,6,0,6,4,6,0,0,72,43,28,13,7,6,34,46,6,1,25,16,0,2,6,4,0,0
L.Arruabarrena,L.Tsurenko,0,79,23,21,4,2,0,7,7,0,0,12,4,0,1,3,0,0,0,60,24,40,10,2,1,24,22,7,4,12,9,0,6,6,0,0,0
S.Soler-Espinosa,M.Doi,1,58,33,42,10,1,3,25,28,13,6,20,14,0,1,6,6,0,0,64,25,36,14,1,5,30,27,10,5,15,8,0,6,4,1,0,0
S.Errani,M.Puig,0,75,28,25,6,0,3,13,15,6,1,11,7,0,3,2,0,0,0,68,28,32,13,4,3,38,17,8,4,18,12,0,6,6,0,0,0
M.Krajicek,N.Li,0,50,11,50,11,1,2,7,8,3,0,11,7,0,1,1,0,0,0,62,24,38,11,2,4,29,12,7,5,18,16,0,6,6,0,0,0
O.Govortsova,S.Halep,0,58,30,42,16,0,5,20,26,5,4,20,17,0,2,6,3,0,0,56,29,44,15,4,5,32,20,13,6,19,18,0,6,3,6,0,0
N.Bratchikova,A.Beck,0,65,20,35,8,2,4,24,30,6,2,19,12,0,3,2,0,0,0,72,29,28,14,2,0,14,11,11,6,2,1,0,6,6,0,0,0
K.Zakopalova,D.Hantuchova,1,54,28,46,13,2,4,29,16,8,6,8,5,0,6,6,0,0,0,63,15,37,8,0,3,15,18,10,3,8,5,0,4,3,0,0,0
M.Camerin,D.Cibulkova,0,55,42,45,26,2,6,24,31,9,4,17,9,0,4,6,4,0,0,65,43,35,17,0,5,43,48,14,5,23,18,0,6,4,6,0,0
M.Torro-Flor,I.Begu,1,72,25,28,8,0,4,22,30,15,5,5,3,0,6,6,0,0,0,61,23,39,11,0,2,15,27,5,3,9,8,0,3,4,0,0,0
Kr.Pliskova,J.Cepelova,0,69,16,31,6,6,1,20,29,8,3,12,7,0,4,1,0,0,0,62,24,38,12,2,2,18,15,10,6,8,6,0,6,6,0,0,0
R.Vinci,C.Scheepers,1,57,24,43,14,4,3,23,6,7,5,20,14,0,6,6,0,0,0,52,10,48,7,0,3,16,20,10,1,19,13,0,2,1,0,0,0
Ka.Pliskova,N.Petrova,1,73,33,27,4,13,1,32,6,7,3,5,4,0,6,6,0,0,0,60,20,40,8,6,0,17,11,1,0,9,4,0,3,2,0,0,0
A.Tatishvili,P.Martic,0,67,31,33,13,0,5,19,22,11,3,14,7,0,1,6,3,0,0,59,32,41,14,10,6,29,19,11,5,15,9,0,6,1,6,0,0
B.Zahlavova Strycova,M.Rybarikova,1,62,37,38,14,6,3,35,42,22,8,34,23,0,5,6,6,0,0,64,29,36,16,1,1,31,55,8,3,48,25,0,7,0,1,0,0
A.Pavlyuchenkova,T.Pironkova,0,57,9,43,5,1,4,14,18,1,0,14,6,0,0,1,0,0,0,60,18,40,13,5,0,19,2,9,5,7,4,0,6,6,0,0,0
M.Niculescu,M.Barthel,0,85,46,15,7,0,1,26,22,13,6,48,23,0,3,6,5,0,0,68,39,32,17,1,0,44,39,16,7,66,42,0,6,4,7,0,0
H.Watson,M.Keys,0,53,18,47,13,4,2,11,15,5,2,7,4,0,3,5,0,0,0,63,25,37,10,8,2,23,18,7,5,8,5,0,6,7,0,0,0
T.Babos,M.Johansson,0,51,25,49,15,7,8,19,47,6,4,13,6,0,6,1,3,0,0,59,32,41,17,1,7,19,38,12,7,18,12,0,4,6,6,0,0
A.Radwanska,Y.Meusburger,1,73,24,27,5,5,1,17,8,8,6,14,10,0,6,6,0,0,0,64,7,36,6,0,0,13,18,5,1,17,11,0,1,1,0,0,0
B.Mattek-Sands,A.Kerber,0,55,29,45,10,4,1,26,26,3,2,30,15,0,3,4,0,0,0,58,21,42,13,1,0,15,4,10,5,15,6,0,6,6,0,0,0
K.Kanepi,T.Moore,1,54,48,46,26,12,9,45,46,21,5,13,7,0,7,5,7,0,0,58,58,42,24,4,11,30,36,15,4,14,12,0,5,7,5,0,0
M.Burdette,U.Radwanska,0,74,38,26,10,0,4,42,54,20,8,44,30,0,6,6,2,0,0,68,39,32,15,2,2,26,18,20,9,18,11,0,7,4,6,0,0
R.Oprandi,A.Riske,0,68,34,32,12,2,1,34,22,11,4,13,3,0,7,5,1,0,0,72,50,28,10,2,7,39,35,9,6,64,42,0,6,7,3,0,0
A.Medina Garrigues,S.Peng,0,66,19,34,9,0,0,21,16,6,0,12,11,0,3,2,0,0,0,70,44,30,9,7,1,29,21,4,3,21,13,0,6,6,0,0,0
A.Morita,M.Erakovic,0,75,41,25,8,1,4,17,21,4,1,9,4,0,6,0,5,0,0,59,45,41,15,12,7,40,34,9,4,16,14,0,4,6,7,0,0
M.Duque-Marino,J.Goerges,1,64,48,36,20,4,7,19,25,11,4,13,10,0,6,6,7,0,0,62,47,38,21,3,8,30,46,4,2,29,16,0,4,7,5,0,0
M.Kirilenko,L.Robson,0,60,21,40,10,2,0,8,4,2,1,7,5,0,3,4,0,0,0,53,24,47,16,8,3,31,17,6,3,10,8,0,6,6,0,0,0
A.Schmiedlova,S.Stosur,0,65,24,35,7,2,3,7,15,2,0,4,2,0,1,3,0,0,0,65,25,35,8,5,0,25,10,10,4,26,19,0,6,6,0,0,0
O.Puchkova,A.Rus,1,69,24,31,4,0,7,17,26,10,7,4,3,0,6,6,0,0,0,56,19,44,15,0,7,19,48,5,4,9,6,0,4,2,0,0,0
E.Vesnina,A.Hlavackova,1,73,29,27,7,1,1,21,16,9,6,14,8,0,6,7,0,0,0,79,25,21,6,2,2,19,26,6,3,14,8,0,2,5,0,0,0
S.Lisicki,F.Schiavone,1,60,27,40,11,5,4,25,17,8,4,13,11,0,6,6,0,0,0,54,15,46,11,1,3,6,8,3,0,16,9,0,1,2,0,0,0
A.Cadantu,T.Paszek,1,71,29,29,8,2,3,17,22,8,5,8,4,0,6,7,0,0,0,66,19,34,6,1,6,20,40,5,2,9,8,0,2,5,0,0,0
K.Date-Krumm,C.Witthoeft,1,65,17,35,10,1,0,17,8,8,6,20,16,0,6,6,0,0,0,41,6,59,7,0,4,2,10,2,1,1,0,0,0,2,0,0,0
C.Garcia,J.Zheng,1,64,33,36,11,4,0,22,20,4,2,16,8,0,6,6,0,0,0,70,25,30,10,1,2,13,14,2,0,9,6,0,3,4,0,0,0
S.Williams,M.Minella,1,73,23,27,7,7,1,25,11,6,5,13,9,0,6,6,0,0,0,48,12,52,12,1,1,5,6,1,1,7,3,0,1,3,0,0,0
A.Cornet,S-W.Hsieh,1,64,29,36,14,2,1,20,10,9,4,15,10,0,6,6,0,0,0,53,14,47,9,0,2,13,16,8,1,15,10,0,3,2,0,0,0
B.Jovanovski,K.Flipkens,0,59,24,41,15,3,1,19,17,5,1,11,8,0,4,4,0,0,0,58,27,42,14,7,1,24,9,9,3,10,8,0,6,6,0,0,0
J.Jankovic,V.Dolonc,0,61,23,39,7,1,4,13,26,6,2,17,9,0,5,2,0,0,0,72,33,28,11,2,3,17,18,7,5,16,11,0,7,6,0,0,0
E.Bouchard,A.Ivanovic,1,54,25,46,10,0,2,14,11,7,5,6,5,0,6,6,0,0,0,51,12,49,10,5,3,18,9,5,2,12,6,0,3,3,0,0,0
C.Suarez Navarro,M.Lucic-Baroni,1,59,30,41,16,1,2,16,13,8,5,12,7,0,1,6,6,0,0,56,28,44,16,7,3,30,31,9,4,8,5,0,6,3,3,0,0
G.Muguruza,E.Makarova,0,58,37,42,21,3,6,31,31,9,2,17,12,0,2,7,4,0,0,68,49,32,16,7,2,30,14,11,5,5,4,0,6,6,6,0,0
M.Larcher De Brito,M.Sharapova,1,71,34,29,16,0,2,13,9,6,3,2,1,0,6,6,0,0,0,60,20,40,9,6,5,21,18,7,1,7,5,0,3,4,0,0,0
L.Safarova,K.Knapp,0,65,37,35,19,1,4,21,30,5,4,9,5,0,6,4,4,0,0,67,39,33,14,10,2,25,24,8,5,5,3,0,4,6,6,0,0
C.Giorgi,S.Cirstea,1,53,36,47,20,0,11,21,36,14,5,22,13,0,7,7,0,0,0,58,40,42,16,3,6,19,24,15,5,18,10,0,6,6,0,0,0
M.Bartoli,C.McHale,1,64,38,36,11,1,6,22,17,12,5,16,12,0,7,6,0,0,0,64,26,36,11,4,3,31,20,12,3,13,9,0,5,4,0,0,0
P.Cetkovska,C.Wozniacki,1,71,31,29,7,1,3,30,13,8,4,15,14,0,6,6,0,0,0,69,15,31,8,0,1,6,10,6,0,8,4,0,2,2,0,0,0
S.Stephens,A.Petkovic,1,64,48,36,19,8,4,25,39,7,6,31,14,0,7,2,8,0,0,63,38,37,22,4,2,26,30,16,7,19,13,0,6,6,6,0,0
